link,quote,rank,rate,star,title
https://movie.douban.com/subject/1296736/,音乐能化解仇恨。,58,225787人评价,9.0,钢琴家
https://movie.douban.com/subject/21937452/,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,59,214119人评价,9.1,素媛
https://movie.douban.com/subject/1292215/,法式小清新。 ,60,531211人评价,8.7,天使爱美丽
https://movie.douban.com/subject/1292223/,警察抓小偷，老鼠玩死猫。,61,478602人评价,8.7,七宗罪
https://movie.douban.com/subject/1303021/,奔跑的孩子是天使。,62,159057人评价,9.2,小鞋子
https://movie.douban.com/subject/1787291/,以戏谑来戏谑戏谑。,63,331814人评价,8.9,被嫌弃的松子的一生
https://movie.douban.com/subject/1780330/,孪生蝙蝠侠大战克隆金刚狼。,64,385449人评价,8.8,致命魔术
https://movie.douban.com/subject/1294408/,用音乐化解仇恨，让歌声串起美好。,65,256896人评价,8.9,音乐之声
https://movie.douban.com/subject/1485260/,在时间之河里感受溺水之苦。,66,437449人评价,8.8,本杰明·巴顿奇事
https://movie.douban.com/subject/1294639/,史诗大片的典范。,67,320933人评价,8.8,勇敢的心
https://movie.douban.com/subject/1292402/,美丽无罪。,68,398509人评价,8.8,西西里的美丽传说
https://movie.douban.com/subject/1292370/,浪漫忧郁的成人童话。,69,535562人评价,8.7,剪刀手爱德华
https://movie.douban.com/subject/1291832/,故事的高级讲法。,70,375047人评价,8.8,低俗小说
https://movie.douban.com/subject/1291843/,视觉革命。,71,315755人评价,8.8,黑客帝国
https://movie.douban.com/subject/1292849/,美利坚精神输出大片No1.,72,269720人评价,8.9,拯救大兵瑞恩
https://movie.douban.com/subject/26580232/,你以为你以为的就是你以为的。,73,401267人评价,8.7,看不见的客人
https://movie.douban.com/subject/1293544/,安东尼·霍普金斯的顶级表演。,74,392709人评价,8.7,沉默的羔羊
https://movie.douban.com/subject/3742360/,你给我翻译翻译，神马叫做TMD的惊喜。,75,696695人评价,8.7,让子弹飞
https://movie.douban.com/subject/1292343/,人的命运被自己瞬间的抉择改变。,76,424681人评价,8.7,蝴蝶效应
https://movie.douban.com/subject/2149806/,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,77,344441人评价,8.8,入殓师
https://movie.douban.com/subject/1292679/,爱情纠缠，男女一致。,78,278573人评价,8.8,春光乍泄
https://movie.douban.com/subject/1418019/,经典之作，历久弥新。,79,115940人评价,9.3,大闹天宫
https://movie.douban.com/subject/3072124/,你是我最好的朋友，你是我唯一的朋友 。,80,248580人评价,8.9,玛丽和马克思
https://movie.douban.com/subject/1293172/,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,81,198480人评价,9.0,末代皇帝
https://movie.douban.com/subject/1292656/,人生中应该拥有这样的一段豁然开朗。,82,303714人评价,8.8,心灵捕手
https://movie.douban.com/subject/1291875/,一场华丽的意淫。,83,301218人评价,8.8,阳光灿烂的日子
https://movie.douban.com/subject/1297359/,人与自然的战争史诗。,84,260758人评价,8.8,幽灵公主
https://movie.douban.com/subject/1297630/,深入内心的恐怖，出人意料的结局。,85,259056人评价,8.8,第六感
https://movie.douban.com/subject/1291999/,寂寞没有期限。,86,369932人评价,8.7,重庆森林
https://movie.douban.com/subject/11525673/,小清新的故事里注入了大历史的情怀。,87,359256人评价,8.8,布达佩斯大饭店
https://movie.douban.com/subject/2334904/,昔日翩翩少年，今日大腹便便。,88,401075人评价,8.7,禁闭岛
https://movie.douban.com/subject/1295038/,童话世界的开端。,89,295662人评价,8.7,哈利·波特与魔法石
https://movie.douban.com/subject/6985810/,人言可畏。,90,147863人评价,9.0,狩猎
https://movie.douban.com/subject/1291545/,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,91,278178人评价,8.7,大鱼
